Project Name,Package Name,Type Name,Code Smell
se-project-1--_12,com.sismics.books.core.dao.jpa,TestJpa,Unutilized Abstraction
se-project-1--_12,com.sismics.books.core.util.math,MathUtilTest,Unutilized Abstraction
se-project-1--_12,com.sismics.books,BaseTransactionalTest,Unutilized Abstraction
se-project-1--_12,com.sismics.books,MainApplication,Unutilized Abstraction
se-project-1--_12,com.sismics.util,TestResourceUtil,Unutilized Abstraction
se-project-1--_12,com.sismics.util,HttpUtil,Unutilized Abstraction
se-project-1--_12,com.sismics.books.core.listener.sync,DeadEventListener,Unutilized Abstraction
se-project-1--_12,com.sismics.books.core.listener.async,BookImportAsyncListener,Unutilized Abstraction
se-project-1--_12,com.sismics.books.core.listener.async,UserAppCreatedAsyncListener,Unutilized Abstraction
se-project-1--_12,com.sismics.books.core.model.jpa,RoleBaseFunction,Unutilized Abstraction
se-project-1--_12,com.sismics.books.core.model.jpa,UserApp,Insufficient Modularization
se-project-1--_12,com.sismics.books.core.model.jpa,Role,Unutilized Abstraction
se-project-1--_12,com.sismics.books.core.model.jpa,User,Insufficient Modularization
se-project-1--_12,com.sismics.books.core.model.jpa,Book,Insufficient Modularization
se-project-1--_12,com.sismics.books.core.model.jpa,App,Unutilized Abstraction
se-project-1--_12,com.sismics.books.core.service.facebook,PermissionException,Unutilized Abstraction
se-project-1--_12,com.sismics.books.core.service.facebook,AuthenticationException,Unutilized Abstraction
se-project-1--_12,com.sismics.books.core.constant,Constants,Unnecessary Abstraction
se-project-1--_12,com.sismics.books.core.constant,Constants,Deficient Encapsulation
se-project-1--_12,com.sismics.books.core.constant,Constants,Broken Modularization
se-project-1--_12,com.sismics.books.core.util.mime,MimeType,Deficient Encapsulation
se-project-1--_12,com.sismics.books.core.util.mime,MimeType,Broken Modularization
se-project-1--_12,com.sismics.books.core.util,StreamUtil,Unutilized Abstraction
se-project-1--_12,com.sismics.books.core.util,EntityManagerUtil,Unutilized Abstraction
se-project-1--_12,com.sismics.util.context,ThreadLocalContext,Deficient Encapsulation
se-project-1--_12,com.sismics.util.jpa,SuppliedConnectionProviderConnectionHelper,Unutilized Abstraction
se-project-1--_12,com.sismics.util.jpa,SessionUtil,Unutilized Abstraction
se-project-1--_12,com.sismics.util.jpa,DbOpenHelper,Unutilized Abstraction
se-project-1--_12,com.sismics.books.activity,BookListActivity,Unutilized Abstraction
se-project-1--_12,com.sismics.books.activity,BookDetailActivity,Unutilized Abstraction
se-project-1--_12,com.sismics.books.zxing,IntentIntegrator,Deficient Encapsulation
se-project-1--_12,com.sismics.books.zxing,IntentIntegrator,Insufficient Modularization
se-project-1--_12,com.sismics.books.adapter,BooksAdapter,Unutilized Abstraction
se-project-1--_12,com.sismics.books.adapter,ViewHolder,Unnecessary Abstraction
se-project-1--_12,com.sismics.books.util.form.validator,Alphanumeric,Unutilized Abstraction
se-project-1--_12,com.sismics.books.util.form.validator,Email,Unutilized Abstraction
se-project-1--_12,com.sismics.books.util.form.validator,Length,Unutilized Abstraction
se-project-1--_12,com.sismics.books.util.form.validator,Required,Unutilized Abstraction
se-project-1--_12,com.sismics.books.resource,BaseResource,Unutilized Abstraction
se-project-1--_12,com.sismics.books.resource,BookResource,Unutilized Abstraction
se-project-1--_12,com.sismics.books.resource,BookResource,Broken Hierarchy
se-project-1--_12,com.sismics.books.resource,UserResource,Unutilized Abstraction
se-project-1--_12,com.sismics.books.resource,UserResource,Broken Hierarchy
se-project-1--_12,com.sismics.books.fragment,BookDetailFragment,Deficient Encapsulation
se-project-1--_12,com.sismics.books.rest,TestAppResource,Unutilized Abstraction
se-project-1--_12,com.sismics.books.rest,TestAppResource,Broken Hierarchy
se-project-1--_12,com.sismics.books.rest,TestConnectResource,Unutilized Abstraction
se-project-1--_12,com.sismics.books.rest,TestConnectResource,Broken Hierarchy
se-project-1--_12,com.sismics.books.rest,TestUserResource,Unutilized Abstraction
se-project-1--_12,com.sismics.books.rest,TestUserResource,Broken Hierarchy
se-project-1--_12,com.sismics.books.rest,TestSecurity,Unutilized Abstraction
se-project-1--_12,com.sismics.books.rest,TestSecurity,Broken Hierarchy
se-project-1--_12,com.sismics.books.rest,TestLocaleResource,Unutilized Abstraction
se-project-1--_12,com.sismics.books.rest,TestLocaleResource,Broken Hierarchy
se-project-1--_12,com.sismics.books.rest,TestTagResource,Imperative Abstraction
se-project-1--_12,com.sismics.books.rest,TestTagResource,Unutilized Abstraction
se-project-1--_12,com.sismics.books.rest,TestTagResource,Broken Hierarchy
se-project-1--_12,com.sismics.books.rest,TestBookResource,Unutilized Abstraction
se-project-1--_12,com.sismics.books.rest,TestBookResource,Broken Hierarchy
se-project-1--_12,com.sismics.books.rest,TestThemeResource,Unutilized Abstraction
se-project-1--_12,com.sismics.books.rest,TestThemeResource,Broken Hierarchy
se-project-1--_12,com.sismics.books.rest,BaseJerseyTest,Unutilized Abstraction
se-project-1--_12,com.sismics.books.rest.model,FacebookUser,Deficient Encapsulation
se-project-1--_12,com.sismics.books.rest.resource,TagResource,Unutilized Abstraction
se-project-1--_12,com.sismics.books.rest.resource,TagResource,Broken Hierarchy
se-project-1--_12,com.sismics.books.rest.resource,TextPlainMessageBodyWriter,Unutilized Abstraction
se-project-1--_12,com.sismics.books.rest.resource,AppResource,Unutilized Abstraction
se-project-1--_12,com.sismics.books.rest.resource,AppResource,Broken Hierarchy
se-project-1--_12,com.sismics.books.rest.resource,ThemeResource,Unutilized Abstraction
se-project-1--_12,com.sismics.books.rest.resource,ThemeResource,Broken Hierarchy
se-project-1--_12,com.sismics.books.rest.resource,LocaleResource,Unutilized Abstraction
se-project-1--_12,com.sismics.books.rest.resource,LocaleResource,Broken Hierarchy
se-project-1--_12,com.sismics.books.rest.resource,BaseResource,Unutilized Abstraction
se-project-1--_12,com.sismics.books.rest.resource,ConnectResource,Unutilized Abstraction
se-project-1--_12,com.sismics.books.rest.resource,ConnectResource,Broken Hierarchy
se-project-1--_12,com.sismics.books.rest.resource,BookResource,Unutilized Abstraction
se-project-1--_12,com.sismics.books.rest.resource,BookResource,Broken Hierarchy
se-project-1--_12,com.sismics.books.rest.resource,UserResource,Unutilized Abstraction
se-project-1--_12,com.sismics.books.rest.resource,UserResource,Broken Hierarchy
se-project-1--_12,com.sismics.books.rest.filter,CookieAuthenticationFilter,Unutilized Abstraction
se-project-1--_12,com.sismics.books.rest.util,TestValidationUtil,Unutilized Abstraction
se-project-1--_12,com.sismics.rest.exception,ForbiddenClientException,Unutilized Abstraction
se-project-1--_12,com.sismics.rest.exception,ServerException,Unutilized Abstraction
se-project-1--_12,com.sismics.rest.exception,ClientException,Unutilized Abstraction
se-project-1--_12,com.sismics.rest.util,JsonUtil,Unutilized Abstraction
se-project-1--_12,com.sismics.rest.resource,GenericExceptionMapper,Unutilized Abstraction
se-project-1--_12,com.sismics.util.filter,TokenBasedSecurityFilter,Deficient Encapsulation
se-project-1--_12,com.sismics.security,AnonymousPrincipal,Deficient Encapsulation
